Character,Personality_Summary,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Alliser Thorne,"Alliser Thorne is very conventional and practical. They are extremely disciplined and organized, and tend to be highly outgoing and energetic. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are generally emotionally stable.",0.1936748141313287,1.0,0.7815840049574683,0.15561671253439907,0.346600859735712
Arya Stark,"Arya Stark is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are somewhat prone to worry and stress.",0.04490023713017366,0.25444202958926604,0.6561566685114636,0.2842601632771746,0.5221224899863793
Barristan Selmy,"Barristan Selmy is somewhat conventional and traditional. They are somewhat spontaneous and flexible, and tend to be very introverted and solitary. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",0.31514385565719416,0.33592989289191816,0.23382267722619277,0.0,0.0
Benjen Stark,"Benjen Stark is somewhat conventional and traditional. They are extremely disciplined and organized, and tend to be very introverted and solitary. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",0.3466170240553008,0.8226657233122946,0.192328964720825,0.0,0.20340091563112875
Beric Dondarrion,"Beric Dondarrion is somewhat open to new experiences. They are very spontaneous and careless, and tend to be very introverted and solitary. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",0.566929202842049,0.0,0.0,0.0,0.0
Bran Stark,"Bran Stark is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.0818542500326973,0.25340346889231746,0.5777414586528945,0.35411329348135023,0.31387314649482895
Catelyn Stark,"Catelyn Stark is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are generally emotionally stable.",0.061089924781081884,0.4172125909267669,0.579272261150847,0.9312538989394821,0.26338494111418265
Cersei Lannister,"Cersei Lannister is very conventional and practical. They are generally reliable and organized, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.04643909801101165,0.5527773170412097,0.5518001339646466,0.388665347509526,0.2848071141529861
Daario Naharis,"Daario Naharis is very open to new experiences and intellectually curious. They are generally reliable and organized, and tend to be very introverted and solitary. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",1.0,0.7278481012658228,0.0,0.0,0.0
Daenerys Targaryen,"Daenerys Targaryen is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are generally kind and trusting. Under pressure, they are generally emotionally stable.",0.0,0.4270706604889123,0.660743144522801,0.611513925973924,0.30733628614287384
Eddard Stark,"Eddard Stark is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are generally kind and trusting. Under pressure, they are extremely calm and emotionally resilient.",0.11792391245327916,0.30828252443936616,0.5812354469954675,0.5752963928361188,0.21633046176895
Euron Greyjoy,"Euron Greyjoy is very conventional and practical. They are generally reliable and organized, and tend to be somewhat social and active. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are extremely calm and emotionally resilient.",0.1567000454878309,0.5599250936329587,0.6167562024074921,0.7817343946376203,0.22800586510263365
Gilly,"Gilly is very conventional and practical. They are very spontaneous and careless, and tend to be somewhat social and active. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are generally emotionally stable.",0.09638950371670973,0.2258994892166385,0.7443161100768775,0.11065646682084247,0.35208875806634454
Grey Worm,"Grey Worm is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are highly anxious and emotionally reactive.",0.07264449934333173,0.3693619962170813,0.3561729834809062,0.9999999999999999,1.0
Jaime Lannister,"Jaime Lannister is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat social and active. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.061203260229925505,0.45751682288383433,0.5232799949443967,0.4421817848256578,0.3358506811432311
Jon Snow,"Jon Snow is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.00328217248669338,0.3812860541906291,0.490747502471871,0.461807223653752,0.32196853895110433
Jorah Mormont,"Jorah Mormont is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.12222298681875632,0.3986991135259248,0.3179823430933875,0.39659514776675914,0.353330222555833
Loras Tyrell,"Loras Tyrell is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are generally emotionally stable.",0.187992255328842,0.4620253164556962,0.2742549304493068,0.0,0.3695781342840192
Margaery Tyrell,"Margaery Tyrell is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are somewhat competitive and skeptical. Under pressure, they are generally emotionally stable.",0.0999882886639003,0.4400698559546359,0.4568145445294004,0.4309531026718033,0.2742428835184169
Melisandre,"Melisandre is very conventional and practical. They are generally reliable and organized, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are extremely cooperative and compassionate. Under pressure, they are generally emotionally stable.",0.042244738725159214,0.5131327511275677,0.3067436474277733,0.789139812230388,0.3264169223316542
Missandei,"Missandei is very conventional and practical. They are somewhat spontaneous and flexible, and tend to be somewhat reserved and reflective. In interpersonal relationships, they are very challenging and suspicious. Under pressure, they are extremely calm and emotionally resilient.",0.16978132895065623,0.3853099265032691,0.2622874269829002,0.17842799770510276,0.21289704271631535
